Geographic name,Province,2006 Population,2006 Land area km2,2006 Population density,Latitude,Longitude
Centre Wellington,ON,26049,407.3271,64,43.75676275,79.65320675
Cape Breton,NS,105928,2470.572,42.9,46.1100845,60.2001865
Canmore,AB,12039,68.8954,174.7,51.085953473,115.3525753599
Camrose,AB,15620,31.1388,501.6,53.0150053372,112.8345016491
Campbellton,NB,17888,1630.3525,11,48.0006044934,66.6742390158
Campbell River,BC,36461,3787.4761,9.6,50.0022588632,125.2459900136
Calgary,AB,1079310,5107.4269,211.3,51.0407333221,114.0796650698
Brooks,AB,22452,5929.4045,3.8,50.5710419176,111.8957998254
Brockville,ON,39668,889.0316,44.6,44.5966934048,75.6915926105
Brantford,ON,124607,1072.8975,116.1,43.1514971478,80.2618234979
Brandon,MB,48256,1712.3737,28.2,49.8422716783,99.9545692243
Belleville,ON,91518,740.6119,123.6,44.166821391,77.382768615
Bay Roberts,NL,10507,103.7105,101.3,47.5986974075,53.2568264007
Bathurst,NB,31424,2087.9743,15,47.6253844499,65.6622595891
Barrie,ON,177061,897.4737,197.3,44.3823546598,79.6888018174
Baie-Comeau,QC,29808,34856.8043,0.9,49.223391919,68.139539113
Amos,QC,17918,1894.159,9.5,48.5723163615,78.1170778673
Alma,QC,32603,401.7646,81.1,48.5582990723,71.649736882
Abbotsford,BC,159020,625.9375,254.1,49.0522727751,122.3059515207
